 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
34.549,9.76619,0.275798,2.47926,-8.55078,7.85038,0.0611087,-0.0528893,-0.00897415,0.0618108,-0.0535914,-0.0780811,0.0405198,1184,690,21.3499,89.2455,44.471,46.4209,32.9476,-41.4072
35.2874,9.7718,0.297484,2.49661,-8.60741,7.72291,0.0606609,-0.0508104,-0.00806916,0.061242,-0.0513914,-0.0718884,0.0361579,1191,690,21.5996,89.6086,44.6304,46.747,32.6714,-41.5139
36.023,9.77131,0.237576,2.53969,-8.63463,7.83078,0.0601222,-0.0487692,-0.00717399,0.0605928,-0.0492398,-0.0655047,0.0338716,1198,690,22.0198,90.0583,44.7341,46.8874,32.5116,-41.6751
36.7591,9.76813,0.19187,2.59632,-8.65295,8.03953,0.0594419,-0.0468002,-0.00622382,0.0598053,-0.0471636,-0.0583156,0.0324439,1205,690,22.5411,90.5326,44.7731,47.1438,32.334,-41.7558
37.4963,9.76451,0.183535,2.64306,-8.69289,8.07992,0.0586779,-0.0449186,-0.00535178,0.0589537,-0.0451944,-0.0514771,0.0323837,1212,690,23.0205,90.9745,44.9628,47.5573,32.1057,-41.7507
38.2344,9.7651,0.20098,2.67803,-8.73469,8.0959,0.0572028,-0.0430072,-0.00460206,0.0574137,-0.0432181,-0.0457956,0.0307131,1219,690,23.3956,91.3865,45.0506,47.9605,31.8419,-41.7713
38.9728,9.7655,0.229799,2.69982,-8.78622,8.03654,0.0554352,-0.0412833,-0.0039402,0.0555955,-0.0414435,-0.040649,0.0291239,1226,690,23.666,91.8099,45.1313,48.3969,31.5636,-41.7648
39.7101,9.76497,0.225199,2.723,-8.8264,8.10739,0.0539379,-0.0396037,-0.00337907,0.0540598,-0.0397256,-0.0360611,0.0330571,1233,690,23.9129,92.3045,45.052,48.7815,31.3335,-41.81
40.4439,9.75269,0.104271,2.76947,-8.8368,8.36988,0.0522646,-0.0380742,-0.00297277,0.0523623,-0.038172,-0.0328595,0.0372857,1240,690,24.3302,92.6936,45.0282,49.1005,31.2696,-41.875
41.1808,9.75908,0.0822457,2.80711,-8.84749,8.55067,0.0500848,-0.0366506,-0.00262251,0.050164,-0.0367298,-0.030199,0.0378693,1247,690,24.6897,92.9577,44.9216,49.2372,31.0652,-42.0871
41.9182,9.75492,0.0813762,2.83829,-8.88005,8.53241,0.047722,-0.0349825,-0.0024591,0.0477951,-0.0350555,-0.0296986,0.0355357,1254,690,25.0398,93.2267,45.0658,49.5833,30.8348,-42.056
42.6576,9.75705,0.153389,2.85979,-8.91922,8.46868,0.0462054,-0.0331975,-0.00254075,0.0462866,-0.0332787,-0.0319546,0.0353248,1261,690,25.3099,93.5369,45.0954,49.9556,30.5026,-41.9921
