" ""X""","  ""Y""","  ""Z""","  ""U""","  ""V""","  ""W""","  ""exx""","  ""eyy""","  ""exy""","  ""e1""","  ""e2""","  ""gamma""","  ""sigma""","  ""x""","  ""y""","  ""u""","  ""v""","  ""q""","  ""r""","  ""q_ref""","  ""r_ref"""
21.8509,-12.5309,-6.76244,0.700882,-2.27849,0.303499,0.00125105,8.32E-05,-0.0012091,0.00200985,-0.000675588,-0.560446,0.00650517,1871,1123,4.17965,23.5487,138.542,-24.6189,142.361,-48.0442
22.1485,-12.4461,-6.85616,0.701132,-2.27991,0.30383,0.00112823,0.000306885,-0.00126689,0.00204935,-0.000614236,-0.628664,0.00652854,1876,1123,4.19218,23.561,138.568,-24.6132,142.38,-48.0531
22.4461,-12.3611,-6.95008,0.701346,-2.28124,0.304115,0.000996642,0.000546155,-0.00134088,0.00213106,-0.000588264,-0.702184,0.00655142,1881,1123,4.20451,23.5724,138.598,-24.6086,142.401,-48.0628
22.7438,-12.2761,-7.04398,0.701561,-2.2825,0.304464,0.00088663,0.000781726,-0.00143284,0.00226798,-0.000599626,-0.767103,0.00657399,1886,1123,4.21688,23.582,138.628,-24.606,142.424,-48.0734
23.0413,-12.1907,-7.1383,0.701716,-2.28369,0.304724,0.000764075,0.00105421,-0.0015229,0.00243894,-0.000620651,-0.832884,0.0065968,1891,1123,4.22878,23.5918,138.663,-24.6042,142.451,-48.0846
23.3386,-12.1044,-7.23355,0.701811,-2.28476,0.305061,0.000620288,0.00134654,-0.00162288,0.00264642,-0.000679593,-0.895462,0.00662039,1896,1123,4.23984,23.5992,138.704,-24.6049,142.484,-48.0962
23.6355,-12.0171,-7.33002,0.701839,-2.28571,0.305419,0.000504876,0.00163527,-0.00173458,0.00289442,-0.00075427,-0.942894,0.00664462,1901,1123,4.25011,23.6048,138.752,-24.6061,142.525,-48.1067
23.9325,-11.9297,-7.42662,0.701829,-2.28651,0.305897,0.000405848,0.0019405,-0.00187501,0.00319912,-0.000852773,-0.97962,0.00666944,1906,1123,4.25985,23.6075,138.802,-24.6093,142.569,-48.1163
24.2294,-11.8421,-7.52338,0.701725,-2.28712,0.306331,0.000379778,0.00226925,-0.00197972,0.0035181,-0.000869072,-1.00802,0.00669617,1911,1123,4.26878,23.6081,138.854,-24.6155,142.615,-48.1271
24.5265,-11.7549,-7.61963,0.70182,-2.28796,0.306822,0.000394814,0.00262407,-0.00204458,0.00383811,-0.000819227,-1.03496,0.00672484,1916,1123,4.28002,23.6116,138.906,-24.6211,142.659,-48.139
24.8233,-11.6665,-7.71717,0.701952,-2.28874,0.307081,0.000403795,0.00302904,-0.00208464,0.00417989,-0.000747055,-1.06637,0.00675476,1921,1123,4.2926,23.6172,138.969,-24.6269,142.712,-48.1522
25.1204,-11.5792,-7.8134,0.702302,-2.28953,0.307976,0.00040302,0.00349878,-0.00208996,0.00455165,-0.000649844,-1.10414,0.0067846,1926,1123,4.30681,23.6141,139.026,-24.6392,142.759,-48.1676
93.0712,-475.335,512.487,0,0,0,0,0,0,0,0,0,-1,1931,1123,0,0,0,0,0,0
93.0712,-475.335,512.487,0,0,0,0,0,0,0,0,0,-1,1181,1128,0,0,0,0,0,0
-19.5408,-22.3086,3.51703,0.637625,-1.84252,0.468913,-0.000189988,-2.58E-05,0.000608669,0.000506283,-0.000722076,0.852429,0.00665844,1186,1128,2.19421,16.8203,160.262,-30.2317,165.203,-46.5498
-19.2333,-22.2526,3.45575,0.637244,-1.84611,0.463828,-0.000188654,-6.06E-05,0.000745775,0.000623895,-0.000873142,0.828222,0.00653723,1191,1128,2.20697,16.9085,159.94,-30.1397,164.864,-46.5608
-18.9249,-22.1983,3.39645,0.637074,-1.85001,0.459374,-0.000187601,-0.000102377,0.000864604,0.000720664,-0.00101064,0.810021,0.00644063,1196,1128,2.21975,16.9952,159.605,-30.0537,164.514,-46.5739
-18.6164,-22.1442,3.33749,0.636871,-1.85389,0.454965,-0.000196638,-0.000143064,0.000973735,0.000804253,-0.00114395,0.799149,0.00636396,1201,1128,2.2319,17.082,159.269,-29.9708,164.165,-46.5885
-18.308,-22.0899,3.27844,0.636673,-1.85773,0.450602,-0.000214425,-0.000175157,0.00108138,0.000886767,-0.00127635,0.794475,0.0062988,1206,1128,2.24407,17.1687,158.935,-29.8923,163.817,-46.606
-17.9993,-22.0361,3.22001,0.636528,-1.86156,0.446268,-0.000233581,-0.000193852,0.00118981,0.00097626,-0.00140369,0.793745,0.00623897,1211,1128,2.257,17.2554,158.599,-29.8148,163.467,-46.6234
-17.6906,-21.9827,3.1619,0.636445,-1.86552,0.442113,-0.000253903,-0.000210449,0.0012771,0.00104511,-0.00150946,0.793904,0.00618313,1216,1128,2.26981,17.3424,158.261,-29.739,163.116,-46.6418
-17.3818,-21.9293,3.10398,0.636489,-1.86971,0.438242,-0.000271317,-0.000222688,0.00134968,0.0011029,-0.0015969,0.794405,0.0061311,1221,1128,2.28288,17.4285,157.922,-29.6643,162.765,-46.6616
-17.0729,-21.8759,3.04609,0.636512,-1.87387,0.434355,-0.000284993,-0.000233136,0.00141132,0.00115249,-0.00167062,0.794583,0.00608124,1226,1128,2.29575,17.514,157.585,-29.5899,162.416,-46.682
-16.7639,-21.8231,2.98883,0.636424,-1.87782,0.430273,-0.000294022,-0.000242074,0.00145289,0.00118507,-0.00172117,0.794336,0.00603249,1231,1128,2.30829,17.5991,157.246,-29.5153,162.064,-46.7015
-16.4549,-21.7702,2.93138,0.636221,-1.88154,0.426039,-0.000293491,-0.000253973,0.00146955,0.00119596,-0.00174342,0.79212,0.00598433,1236,1128,2.3203,17.6841,156.909,-29.4419,161.714,-46.7205
-16.1459,-21.7172,2.87389,0.635926,-1.88514,0.42175,-0.000282242,-0.000267178,0.00146652,0.00119183,-0.00174125,0.787966,0.00593677,1241,1128,2.33146,17.769,156.574,-29.3697,161.366,-46.739
-15.854,-21.6273,2.77426,0.635338,-1.88165,0.420005,-0.000265913,-0.000285879,0.00144622,0.00117036,-0.00172215,0.781947,0.00586292,1246,1128,2.35123,17.7445,156.505,-29.3946,161.263,-46.7434
-15.5473,-21.5695,2.71137,0.635303,-1.88496,0.416833,-0.000244175,-0.000312021,0.0014027,0.00112502,-0.00168121,0.773308,0.00554851,1251,1128,2.36337,17.814,156.202,-29.3391,160.948,-46.7638
-15.2414,-21.5098,2.64631,0.635565,-1.88983,0.413964,-0.000217365,-0.000341363,0.00134674,0.0010688,-0.00162753,0.762396,0.00531243,1256,1128,2.37417,17.898,155.906,-29.2655,160.648,-46.7813
-14.9345,-21.4523,2.58367,0.635405,-1.89271,0.410209,-0.000184888,-0.000378569,0.00127364,0.000995586,-0.00155904,0.747454,0.0051757,1261,1128,2.3877,17.9684,155.608,-29.2071,160.334,-46.8
-14.629,-21.3918,2.51788,0.63589,-1.89737,0.408007,-0.000140222,-0.000433119,0.00117298,0.000895416,-0.00146876,0.723294,0.00504494,1266,1128,2.40024,18.0476,155.319,-29.1503,160.041,-46.8207
-14.3225,-21.3336,2.45444,0.635996,-1.90053,0.404537,-8.31E-05,-0.000501128,0.00105286,0.000781315,-0.0013655,0.687401,0.0049018,1271,1128,2.41595,18.1185,155.029,-29.0923,159.734,-46.84
-14.0156,-21.276,2.39189,0.636445,-1.9051,0.402236,-2.17E-05,-0.000577323,0.000927294,0.000668525,-0.00126752,0.639848,0.00479903,1276,1128,2.42861,18.1992,154.725,-29.0383,159.424,-46.8619
-13.7082,-21.2196,2.33089,0.636564,-1.90865,0.39957,2.34E-05,-0.000661418,0.000793114,0.00054488,-0.00118287,0.581614,0.00469995,1281,1128,2.44065,18.2685,154.416,-28.9916,159.107,-46.8867
-13.4036,-21.1572,2.26256,0.637083,-1.91164,0.398464,5.12E-05,-0.000747497,0.000668799,0.000430774,-0.00112711,0.516263,0.00464054,1286,1128,2.45522,18.3132,154.149,-28.9551,158.832,-46.9003
-13.1,-21.0927,2.19162,0.637251,-1.9153,0.395863,7.71E-05,-0.000821731,0.000559814,0.000345544,-0.00109021,0.447187,0.00460757,1291,1128,2.4674,18.3863,153.899,-28.897,158.573,-46.9103
-12.7956,-21.0299,2.123,0.637697,-1.91893,0.393863,9.69E-05,-0.000893712,0.000445522,0.000267749,-0.00106461,0.366278,0.00460547,1296,1128,2.4819,18.4515,153.637,-28.8496,158.303,-46.9259
-12.4929,-20.9632,2.04994,0.638458,-1.92285,0.392923,0.000106671,-0.000960917,0.000333585,0.000202334,-0.00105658,0.279275,0.00462469,1301,1128,2.49672,18.5127,153.399,-28.8146,158.059,-46.9426
-12.1905,-20.8959,1.97607,0.639046,-1.92694,0.391551,0.000109393,-0.00101897,0.000232672,0.000155488,-0.00106506,0.195578,0.00466415,1306,1128,2.5099,18.5758,153.166,-28.7641,157.821,-46.9546
-11.891,-20.8224,1.89472,0.639645,-1.93058,0.390298,0.000107024,-0.00106134,0.000145896,0.000124967,-0.00107928,0.122369,0.0047137,1311,1128,2.5242,18.6294,152.978,-28.7072,157.627,-46.9565
-11.5893,-20.7535,1.81903,0.639885,-1.93355,0.388398,0.000102748,-0.00108963,7.22E-05,0.000107107,-0.00109399,0.0602764,0.00477867,1316,1128,2.53731,18.6819,152.763,-28.6617,157.402,-46.9688
-11.2861,-20.6876,1.74732,0.640117,-1.93643,0.386891,9.61E-05,-0.0011046,1.07E-05,9.62E-05,-0.0011047,0.00889457,0.00483722,1321,1128,2.54928,18.7318,152.525,-28.6371,157.157,-46.9947
-10.9844,-20.6188,1.67188,0.64012,-1.93904,0.385233,8.19E-05,-0.00110579,-2.81E-05,8.25E-05,-0.00110645,-0.0236615,0.00489119,1326,1128,2.55908,18.7798,152.308,-28.6049,156.934,-47.0114
-10.6839,-20.5471,1.59283,0.640463,-1.94186,0.383924,6.34E-05,-0.00109327,-4.76E-05,6.54E-05,-0.00109523,-0.0410865,0.00494342,1331,1128,2.57225,18.8267,152.114,-28.563,156.731,-47.0171
-10.3837,-20.4748,1.51307,0.640784,-1.9448,0.382809,4.70E-05,-0.00106663,-5.07E-05,4.93E-05,-0.00106894,-0.0453944,0.00497441,1336,1128,2.58408,18.8737,151.923,-28.524,156.534,-47.0242
-10.0843,-20.4009,1.43147,0.641316,-1.94784,0.382102,2.83E-05,-0.00102942,-3.46E-05,2.94E-05,-0.00103055,-0.0326998,0.0049651,1341,1128,2.59748,18.9171,151.744,-28.4879,156.349,-47.0316
-9.78543,-20.3254,1.34835,0.641833,-1.95037,0.381231,5.16E-06,-0.000986569,-1.48E-05,5.38E-06,-0.000986789,-0.0148722,0.00496673,1346,1128,2.61273,18.9552,151.579,-28.4593,156.175,-47.0432
-9.48664,-20.2496,1.26513,0.642637,-1.95316,0.380854,-1.28E-05,-0.000944786,4.07E-06,-1.27E-05,-0.000944803,0.00437121,0.004995,1351,1128,2.62993,18.9922,151.416,-28.4394,156.003,-47.0604
-9.18877,-20.1719,1.17933,0.643514,-1.95615,0.380812,-1.84E-05,-0.000898598,2.72E-05,-1.75E-05,-0.000899436,0.0308292,0.00503827,1356,1128,2.64655,19.0283,151.266,-28.4116,155.846,-47.0683
-8.89007,-20.096,1.09557,0.644141,-1.95898,0.380911,-1.87E-05,-0.000845474,5.21E-05,-1.54E-05,-0.00084874,0.0626415,0.00508271,1361,1128,2.65943,19.0608,151.102,-28.3858,155.679,-47.0752
-8.59133,-20.0203,1.01177,0.644553,-1.96147,0.380672,-2.52E-05,-0.00078762,8.97E-05,-1.48E-05,-0.000798039,0.115592,0.00510276,1366,1128,2.67123,19.0924,150.94,-28.357,155.512,-47.0791
-8.29189,-19.9459,0.929853,0.644974,-1.96398,0.380094,-2.63E-05,-0.000721341,0.000139268,5.43E-07,-0.000748209,0.190582,0.00509219,1371,1128,2.68425,19.1262,150.771,-28.3288,155.337,-47.089
-7.99143,-19.874,0.850425,0.645492,-1.96658,0.379167,-1.00E-05,-0.000648632,0.000184508,3.95E-05,-0.000698107,0.261984,0.00506708,1376,1128,2.69964,19.1629,150.592,-28.2905,155.148,-47.0954
